Name,Price ($),Quantity,Volume (mL),ABV (%),Container,Type,Cost per mL of Alcohol ($),Cost per Unit ($),Total Volume (mL),Total Alcohol Content (mL)
Stonepicker Brewery Hack 'N' Slash,3.6,1,473,6.4,Can,Ale,0.119,3.6,473,30.272
Second Wedge Elgin Blonde Blonde Ale,3.25,1,473,4.3,Can,Ale,0.16,3.25,473,20.339
Radical Road Beer,3.3,1,473,5.0,Can,Ale,0.14,3.3,473,23.65
Purple Skull Kolsch,3.25,1,473,4.2,Can,Ale,0.164,3.25,473,19.866
Bru Brewing Dazed in a Haze NEIPA,4.25,1,473,6.0,Can,Ale,0.15,4.25,473,28.38
Orange Snail Iron Pig Pale Ale,3.5,1,473,5.0,Can,Ale,0.148,3.5,473,23.65
Walkerville Geronimo IPA,3.65,1,473,6.3,Can,Ale,0.122,3.65,473,29.799
Neustadt 10W30 Brown Ale,3.5,1,473,5.2,Can,Ale,0.142,3.5,473,24.596
Neustadt Scottish Pale Ale,3.45,1,473,4.2,Can,Ale,0.174,3.45,473,19.866
Riverhead Brewing Company Pathfinder DIPA,4.95,1,473,8.1,Can,Ale,0.129,4.95,473,38.313
Orleans Brewing Co. Kolsch Me Ousside,3.2,1,473,4.8,Can,Ale,0.141,3.2,473,22.704
Rorschach Brewing Truth Serum Double Dry Hopped IPA,4.5,1,473,6.5,Can,Ale,0.146,4.5,473,30.745
Powerhouse Brewing Homecoming Pale Ale,3.65,1,473,5.5,Can,Ale,0.14,3.65,473,26.015
Lost Craft Coastal Wave IPA,3.5,1,473,6.0,Can,Ale,0.123,3.5,473,28.38
Matron Brewing Janky IPA,5.15,1,473,6.0,Can,Ale,0.181,5.15,473,28.38
Furnace Room Chicken Man Pale,3.45,1,473,5.4,Can,Ale,0.135,3.45,473,25.542
Driftwood Brewing Fat Tug IPA,4.05,1,473,7.0,Can,Ale,0.122,4.05,473,33.11
KICHESIPPI BEER COMPANY North Shore NEIPA,3.85,1,473,6.2,Can,Ale,0.131,3.85,473,29.326
Bayside Brewing Co. Orchard Cherry Lager,3.75,1,473,4.1,Can,Ale,0.193,3.75,473,19.393
Clifford Brewing Company Dark Streets of London ESB,3.65,1,473,5.2,Can,Ale,0.148,3.65,473,24.596
Brasserie Tuque De Broue Gougounes Rousses,3.95,1,473,5.8,Can,Ale,0.144,3.95,473,27.434
Boshkung Brewing Co 35 & 118 Cream Ale,3.5,1,473,5.0,Can,Ale,0.148,3.5,473,23.65
Broken Rail Tesla's Revenge IPA,3.75,1,473,6.4,Can,Ale,0.124,3.75,473,30.272
Bicycle Craft Brewery Frequency APA,4.15,1,473,5.4,Can,Ale,0.162,4.15,473,25.542
Black Rapids Brewing Lockstation Milk Stout,3.75,1,473,5.3,Can,Ale,0.15,3.75,473,25.069
Silversmith Brewing Nut Brown Ale,3.75,1,473,5.0,Can,Ale,0.159,3.75,473,23.65
Bud Light Lime,29.95,12,341,4.0,Bottle,Ale,0.183,2.496,4092,163.68
Walkerville Easy Stout,3.65,1,473,5.5,Can,Ale,0.14,3.65,473,26.015
Walsh Wiltshire Brewing Hybrid Ale,2.95,1,473,5.0,Can,Ale,0.125,2.95,473,23.65
Sleeping Giant Brewing Quittin Time,2.85,1,355,4.5,Can,Ale,0.178,2.85,355,15.975
Prince Eddy's Sheesh Cake Passionfruit Cheesecake Sour,4.85,1,473,5.0,Can,Ale,0.205,4.85,473,23.65
Rorschach Brewing Absolute Truth DIPA,4.5,1,355,8.0,Can,Ale,0.158,4.5,355,28.4
Oast House Farmer Tan IPA,4.45,1,473,6.0,Can,Ale,0.157,4.45,473,28.38
Northern Superior Brewing 17 North Pale Ale,3.55,1,473,5.2,Can,Ale,0.144,3.55,473,24.596
Magnotta True North Light IPA,3.5,1,473,4.0,Can,Ale,0.185,3.5,473,18.92
Muskoka Brewery Detour,54.95,24,355,4.3,Can,Ale,0.15,2.29,8520,366.36
Kame & Kettle Beer Works Minivan Kolsch,3.45,1,473,4.8,Can,Ale,0.152,3.45,473,22.704
Exchange Brewery Wee Wallop,3.65,1,473,3.0,Can,Ale,0.257,3.65,473,14.19
Chronicle Chimera New England Pale Ale,3.95,1,473,5.0,Can,Ale,0.167,3.95,473,23.65
Brother's Brewing Lamplighter IPA,5.0,1,473,6.5,Can,Ale,0.163,5.0,473,30.745
Brew Revolution Kashmir Norwegian Pale Ale,3.75,1,473,4.5,Can,Ale,0.176,3.75,473,21.285
Black Bellows Crop Top,3.95,1,473,4.8,Can,Ale,0.174,3.95,473,22.704
Church Key Brewing Holy Smoke Scotch Ale,6.45,1,650,6.2,Bottle,Ale,0.16,6.45,650,40.3
Broadhead Brewing Underdog Pale Ale,3.55,1,473,5.2,Can,Ale,0.144,3.55,473,24.596
Black Swan Brewing IPA,3.35,1,355,6.5,Can,Ale,0.145,3.35,355,23.075
Alexander Keith's India Pale Ale,29.5,12,341,5.0,Bottle,Ale,0.144,2.458,4092,204.6
5 Paddles Home Sweet Home,3.75,1,473,5.5,Can,Ale,0.144,3.75,473,26.015
Railway City Witty Traveller,3.6,1,473,4.5,Can,Ale,0.169,3.6,473,21.285
New Limburg Belgian Blonde,6.0,1,500,7.1,Bottle,Ale,0.169,6.0,500,35.5
Kensington Brewing Co It's a Stout,3.45,1,473,5.8,Can,Ale,0.126,3.45,473,27.434
Cowbell Brewing Co. Hazy Days Hazy Nights,4.25,1,473,7.0,Can,Ale,0.128,4.25,473,33.11
Whiskeyjack Cold Front,3.55,1,473,5.0,Can,Ale,0.15,3.55,473,23.65
The Napanee Beer Company Mayday! Belgian Wheat Beer,3.55,1,473,4.7,Can,Ale,0.16,3.55,473,22.231
WHISKEYJACK BEER COMPANY Abitibi Amber,3.55,1,473,5.0,Can,Ale,0.15,3.55,473,23.65
Powerhouse Brewing Co Generator India Pale Ale,3.95,1,473,6.1,Can,Ale,0.137,3.95,473,28.853
Sons of Kent Scotch Ale,4.65,1,473,9.0,Can,Ale,0.109,4.65,473,42.57
Three Sheets Brewing Best Coast Pale Ale,3.65,1,473,4.9,Can,Ale,0.157,3.65,473,23.177
New Ontario Brewing Bear Runner Blonde Ale,3.45,1,473,4.5,Can,Ale,0.162,3.45,473,21.285
"Orange Snail Brewery - Rattle ""N"" Nemo",3.6,1,473,5.0,Can,Ale,0.152,3.6,473,23.65
Riverhead Brewing Midnight Odyssey Oatmeal Stout,4.25,1,473,5.9,Can,Ale,0.152,4.25,473,27.907
Parsons Brewing Mousetrap Rye Pale Ale,3.95,1,473,6.6,Can,Ale,0.127,3.95,473,31.218
Couchiching Craft Brewing Co. Meadow Haze NE IPA,3.95,1,473,4.5,Can,Ale,0.186,3.95,473,21.285
Holman Brewing Red Dock Amber Ale,3.5,1,473,5.3,Can,Ale,0.14,3.5,473,25.069
Kingsville Brewery Hefeweizen,3.75,1,473,5.0,Can,Ale,0.159,3.75,473,23.65
Full Beard Brewing Lion's Mane Amber Ale,3.55,1,473,5.5,Can,Ale,0.136,3.55,473,26.015
Innocente Inn O'Slainte Irish Red Ale,4.0,1,473,5.2,Can,Ale,0.163,4.0,473,24.596
Haliburton Highlands Brewing Honey Brown Ale,3.45,1,473,5.0,Can,Ale,0.146,3.45,473,23.65
Indie Alehouse English Breakfast Porter,6.75,1,500,7.2,Bottle,Ale,0.187,6.75,500,36.0
Brimstone Hail Mary Session IPA,3.6,1,473,4.5,Can,Ale,0.169,3.6,473,21.285
Bud Light Chelada,15.5,6,355,4.0,Can,Ale,0.182,2.583,2130,85.2
Bellwoods Brewery Greenbelly Triple IPA,5.75,1,473,10.0,Can,Ale,0.122,5.75,473,47.3
Beyond the Pale Cosmic Latte,4.5,1,473,6.0,Can,Ale,0.159,4.5,473,28.38
Matron Brewing Janky IPA,3.95,1,355,6.0,Can,Ale,0.185,3.95,355,21.3
Elora Brewing Wandering Monk Belgian IPA,5.1,1,473,8.2,Can,Ale,0.131,5.1,473,38.786
Walkerville Brewery Imperial Stout,11.95,1,500,10.0,Bottle,Ale,0.239,11.95,500,50.0
Mill Street Hazy Organic IPA,3.7,1,473,6.0,Can,Ale,0.13,3.7,473,28.38
Ridge Rock Brewing Co Amber,3.75,1,473,5.0,Can,Ale,0.159,3.75,473,23.65
Prince Eddy's Neighbourly NEIPA,5.25,1,473,6.0,Can,Ale,0.185,5.25,473,28.38
Church Key Brewing West Coast Pale Ale,6.45,1,650,6.2,Bottle,Ale,0.16,6.45,650,40.3
Shacklands Brewing Co Saison Davenport,3.75,1,355,6.4,Can,Ale,0.165,3.75,355,22.72
Muskoka Cream Ale,32.95,12,355,5.0,Can,Ale,0.155,2.746,4260,213.0
Lost Craft Chill Vibes Cold IPA,3.5,1,473,6.0,Can,Ale,0.123,3.5,473,28.38
Longtooth Pale Ale,3.2,1,473,5.2,Can,Ale,0.13,3.2,473,24.596
Hometown Brewing Co Hazy Susan IPA,3.35,1,473,6.0,Can,Ale,0.118,3.35,473,28.38
4 Degrees Brewing Hill 70 Belgian Blonde Ale,3.25,1,473,7.0,Can,Ale,0.098,3.25,473,33.11
The Exchange Brewery Hazy IPA,4.25,1,473,6.0,Can,Ale,0.15,4.25,473,28.38
Collingwood Oak Aged Porter,4.25,1,473,6.0,Can,Ale,0.15,4.25,473,28.38
Dog House Brewing War Dog Lagered Ale,3.65,1,473,5.0,Can,Ale,0.154,3.65,473,23.65
Exchange Brewery Two Way West Coast IPA,4.75,1,473,6.5,Can,Ale,0.154,4.75,473,30.745
Cameron's Brewing Co. Bad Robot New England Double IPA,4.45,1,473,8.2,Can,Ale,0.115,4.45,473,38.786
1000 Islands Brewery APA,3.45,1,473,5.6,Can,Ale,0.13,3.45,473,26.488
High Road Brewing Bronan IPA,4.0,1,473,7.1,Can,Ale,0.119,4.0,473,33.583
Duvel Cherry Chouffe,4.5,1,330,8.0,Bottle,Ale,0.17,4.5,330,26.4
Great Lakes Brewery Karmageddon DIPA,4.0,1,473,8.1,Can,Ale,0.104,4.0,473,38.313
Collective Arts Fuzz Face Triple IPA,4.95,1,473,10.2,Can,Ale,0.103,4.95,473,48.246
3 Fonteinen Platinum Blend Geuze,15.05,1,375,6.0,Bottle,Ale,0.669,15.05,375,22.5
Collective Arts Blood Orange Cranberry & Vanilla Sour,4.75,1,473,5.6,Can,Ale,0.179,4.75,473,26.488
Timmermans Lambicus Strawberry,4.7,1,330,4.0,Bottle,Ale,0.356,4.7,330,13.2
St. Ambroise Imperial Porter Barrel Collection,8.65,1,500,10.0,Bottle,Ale,0.173,8.65,500,50.0
Flying Monkeys Psychedelic Puzzle Factory DIPA,4.35,1,473,8.1,Can,Ale,0.114,4.35,473,38.313
Village Brewery Binge Watch New Zealand Style Pale Ale,3.5,1,473,4.5,Can,Ale,0.164,3.5,473,21.285
Collective Arts Galaxy 2 Ways,4.85,1,473,6.6,Can,Ale,0.155,4.85,473,31.218
Kronenbourg 1664 Blanc Fruits Rouges,13.25,4,500,4.5,Can,Ale,0.147,3.312,2000,90.0
Schneider Festweisse,4.15,1,500,6.2,Bottle,Ale,0.134,4.15,500,31.0
Jart-Elle Oude Kriek,9.3,1,375,6.0,Bottle,Ale,0.413,9.3,375,22.5
Thornbridge Brewery Jaipur IPA,3.6,1,440,5.9,Can,Ale,0.139,3.6,440,25.96
Omnipollo Fatamorgana Folk,3.85,1,473,3.5,Can,Ale,0.233,3.85,473,16.555
Rush X Henderson Xanabrew - Belgian Strong Pale Ale,12.95,1,500,10.5,Bottle,Ale,0.247,12.95,500,52.5
Mill St. Cold IPA,3.75,1,473,6.8,Can,Ale,0.117,3.75,473,32.164
Rorschach Brewing Paradigm Shift Triple Dry Hopped Double IPA,4.5,1,355,8.5,Can,Ale,0.149,4.5,355,30.175
Siren Caribbean Chocolate Mole Cake Stout,5.55,1,330,8.8,Can,Ale,0.191,5.55,330,29.04
Henderson Brewing Whipper English Pale Mild,3.6,1,473,4.2,Can,Ale,0.181,3.6,473,19.866
Windswept Brewing Wolf Dark & Strong Scottish Ale,4.0,1,330,6.0,Bottle,Ale,0.202,4.0,330,19.8
Left Field Brewery Five Tool Summer Wheat,3.35,1,355,4.2,Can,Ale,0.225,3.35,355,14.91
Adnams Ghost Ship Pale Ale,3.35,1,440,4.5,Can,Ale,0.169,3.35,440,19.8
Ayinger Ur-Weisse Bavarian Dunkel,4.95,1,500,5.8,Bottle,Ale,0.171,4.95,500,29.0
Clavie Smoked Porter,4.0,1,330,5.5,Bottle,Ale,0.22,4.0,330,18.15
Left Field Brewery Squeeze Play Strawberry Rhubarb,3.95,1,355,4.8,Can,Ale,0.232,3.95,355,17.04
Deschutes Fresh Hazy IPA,3.9,1,473,6.5,Can,Ale,0.127,3.9,473,30.745
Henderson Brewing Rush X Signals 40th Annivesary,13.95,1,500,11.9,Bottle,Ale,0.234,13.95,500,59.5
Chimay 150,4.95,1,330,10.0,Bottle,Ale,0.15,4.95,330,33.0
Bobcaygeon Sweet Tooth Pumpkin Spice Latte,4.95,1,473,8.1,Can,Ale,0.129,4.95,473,38.313
Bobcaygeon Brewing Houseboat Hefeweizen,3.95,1,473,5.1,Can,Ale,0.164,3.95,473,24.123
Muskoka Brewery Ebb & Flow Five Alive,3.85,1,473,5.0,Can,Ale,0.163,3.85,473,23.65
Mill Street Session IPA,3.75,1,473,4.7,Can,Ale,0.169,3.75,473,22.231
Collective Arts Daily Forecast,3.95,1,355,4.5,Can,Ale,0.247,3.95,355,15.975
MacLean's Cherry Porter,3.65,1,473,5.4,Can,Ale,0.143,3.65,473,25.542
Westmalle Tripel,5.3,1,330,9.5,Bottle,Ale,0.169,5.3,330,31.35
Timothy Taylor Landlord,3.9,1,500,4.1,Bottle,Ale,0.19,3.9,500,20.5
Wildbrau Grandauer Weissbier,3.75,1,500,5.1,Bottle,Ale,0.147,3.75,500,25.5
Stray Dog California Common,3.2,1,473,5.2,Can,Ale,0.13,3.2,473,24.596
Weihenstephaner Hefeweissbier,4.2,1,500,5.6,Bottle,Ale,0.15,4.2,500,28.0
Spearhead Hawaiian Style Pale Ale,3.45,1,473,6.0,Can,Ale,0.122,3.45,473,28.38
St. Bernardus Abt 12,5.35,1,330,10.0,Bottle,Ale,0.162,5.35,330,33.0
RUSH x Henderson X-1 Belgian Black Ale with Cherry,13.95,1,500,10.0,Bottle,Ale,0.279,13.95,500,50.0
Siren Craft Brew Pompelmocello Sour IPA,3.45,1,330,6.0,Can,Ale,0.174,3.45,330,19.8
Trestle Brewing Company Golden Ale,3.45,1,473,5.0,Can,Ale,0.146,3.45,473,23.65
Prince Eddy's So Many Friends IPA,3.95,1,473,4.5,Can,Ale,0.186,3.95,473,21.285
Rally Beer Company Extra Mile Session IPA,10.95,4,355,3.5,Can,Ale,0.22,2.738,1420,49.7
Wellington Brewery Imperial Stout,4.25,1,473,8.0,Can,Ale,0.112,4.25,473,37.84
Prince Eddy's Blonde Ale,3.45,1,473,4.7,Can,Ale,0.155,3.45,473,22.231
Stack Brewing Saturday Night,3.5,1,473,5.3,Can,Ale,0.14,3.5,473,25.069
Skeleton Park Amber 6.6,3.5,1,473,6.6,Can,Ale,0.112,3.5,473,31.218
Schneider Helle Weisse,3.9,1,500,4.9,Can,Ale,0.159,3.9,500,24.5
Sleeping Giant Northern Logger,3.6,1,473,4.9,Can,Ale,0.155,3.6,473,23.177
Rodenbach Vintage,14.55,1,750,7.0,Bottle,Ale,0.277,14.55,750,52.5
Old Speckled Hen,14.75,4,500,5.0,Can,Ale,0.148,3.688,2000,100.0
Royal City Bootleg Cream Ale,3.65,1,473,5.5,Can,Ale,0.14,3.65,473,26.015
Old Flame Brewing Perry Loved Mary IPA,3.85,1,473,6.3,Can,Ale,0.129,3.85,473,29.799
Orval Trappist Ale,5.3,1,330,6.9,Bottle,Ale,0.233,5.3,330,22.77
Side Launch Hazy IPA,3.65,1,473,6.4,Can,Ale,0.121,3.65,473,30.272
New Ontario Brewing - Tree Topper Red Ale,3.45,1,473,5.2,Can,Ale,0.14,3.45,473,24.596
Perth Brewery Calypso IPA,3.65,1,473,4.8,Can,Ale,0.161,3.65,473,22.704
Perth Brewery Easy Amber,3.45,1,473,5.0,Can,Ale,0.146,3.45,473,23.65
Saison Dupont,3.2,1,330,6.5,Bottle,Ale,0.149,3.2,330,21.45
Sleeping Giant White Out Hazy IPA,3.75,1,473,6.1,Can,Ale,0.13,3.75,473,28.853
Rainhard Brewing Rage & Love Passionfruit & Raspberry Sour,3.95,1,355,5.0,Can,Ale,0.223,3.95,355,17.75
Royal City Exhibition Session IPA,3.65,1,473,4.5,Can,Ale,0.171,3.65,473,21.285
Overflow Brewing Landlocked India Pale Ale,3.95,1,473,6.5,Can,Ale,0.128,3.95,473,30.745
PEI Brewing Gahan Blueberry Ale,3.45,1,473,4.5,Can,Ale,0.162,3.45,473,21.285
Nita Beer Company Biju,3.5,1,473,6.1,Can,Ale,0.121,3.5,473,28.853
Muskoka Brewery Major Tom Hazy DIPA,4.95,1,568,8.0,Can,Ale,0.109,4.95,568,45.44
Muskoka Brewery Pineapple Ninja Wheat Ale,3.75,1,473,4.7,Can,Ale,0.169,3.75,473,22.231
Russell Brewing A Wee Angry Scotch Ale,3.95,1,473,6.5,Can,Ale,0.128,3.95,473,30.745
Niagara Oast House Barnraiser Country Ale,3.7,1,473,5.0,Can,Ale,0.156,3.7,473,23.65
Muskoka Hazed & Confused,3.75,1,473,6.5,Can,Ale,0.122,3.75,473,30.745
Lake Of The Woods Nautical Disaster Double IPA,3.95,1,473,7.0,Can,Ale,0.119,3.95,473,33.11
Kronenbourg 1664 Rose,10.95,4,355,4.5,Can,Ale,0.171,2.738,1420,63.9
MacLean's County Cream Ale,3.35,1,473,4.2,Can,Ale,0.169,3.35,473,19.866
Maclean's Farmhouse Blonde,3.35,1,473,4.8,Can,Ale,0.148,3.35,473,22.704
Maclay's Traditional Pale Ale,43.95,24,341,5.0,Bottle,Ale,0.107,1.831,8184,409.2
Mascot Brewery Juicy J IPA,3.6,1,473,6.0,Can,Ale,0.127,3.6,473,28.38
Meyers Creek Brewing Vanilla Porter,3.95,1,473,5.2,Can,Ale,0.161,3.95,473,24.596
Market Brewing Bear Hug IPA,4.0,1,473,7.0,Can,Ale,0.121,4.0,473,33.11
MacLean's Pale Ale,3.45,1,473,5.2,Can,Ale,0.14,3.45,473,24.596
Longslice Sky Bison APA,3.5,1,473,5.0,Can,Ale,0.148,3.5,473,23.65
Market Brewing Goliath Cold Pale Ale,3.65,1,473,5.4,Can,Ale,0.143,3.65,473,25.542
Left Field Brewery Squeeze Play Rainbow Sherbet,4.25,1,355,4.8,Can,Ale,0.249,4.25,355,17.04
MacKinnon Brothers Harvest Ale,3.5,1,473,5.0,Can,Ale,0.148,3.5,473,23.65
MacKinnon Brewing Red Fox Ale,3.5,1,473,4.2,Can,Ale,0.176,3.5,473,19.866
Jolly Pumpkin Artisan Ales Oro,4.9,1,473,8.0,Can,Ale,0.129,4.9,473,37.84
Lake of the Woods Forgotten Lake Blueberry Ale,3.95,1,473,7.1,Can,Ale,0.118,3.95,473,33.583
Innis & Gunn Original,3.75,1,473,6.6,Can,Ale,0.12,3.75,473,31.218
Kensington Supermarket Haze,3.75,1,473,5.8,Can,Ale,0.137,3.75,473,27.434
Mackinnon Brewing Crosscut Canadian Ale,3.5,1,473,5.2,Can,Ale,0.142,3.5,473,24.596
Kronenbourg 1664 Blanc,2.95,1,473,5.0,Can,Ale,0.125,2.95,473,23.65
Kronenbourg 1664 Blanc,14.45,6,330,5.0,Bottle,Ale,0.146,2.408,1980,99.0
Highlander Blacksmith Smoked Porter,3.4,1,473,6.5,Can,Ale,0.111,3.4,473,30.745
Mackinnon Brewing 8 Man English Pale Ale,3.5,1,473,5.5,Can,Ale,0.135,3.5,473,26.015
Hobgoblin Ipa,3.35,1,500,5.0,Can,Ale,0.134,3.35,500,25.0
Kona Hanalei IPA,19.95,6,355,4.5,Bottle,Ale,0.208,3.325,2130,95.85
Innis & Gunn Islay Whisky Cask Laphroaig,12.7,2,330,7.4,Bottle,Ale,0.26,6.35,660,48.84
Guinness Nitro Cold Brew Coffee Beer,15.55,4,440,4.0,Can,Ale,0.221,3.888,1760,70.4
Innis & Gunn Tequila Cask Blonde Beer,3.5,1,473,5.1,Can,Ale,0.145,3.5,473,24.123
Imperial City Brew House Goodbye Gravity Cream Ale,3.6,1,473,5.0,Can,Ale,0.152,3.6,473,23.65
Innis & Gunn Caribbean Rum Cask,3.75,1,473,6.8,Can,Ale,0.117,3.75,473,32.164
High Park Eat The Worm Margarita Sour,3.95,1,473,5.0,Can,Ale,0.167,3.95,473,23.65
Hoegaarden,17.95,6,330,5.0,Bottle,Ale,0.181,2.992,1980,99.0
Great Lakes Brewery Miami Weiss,3.25,1,473,4.5,Can,Ale,0.153,3.25,473,21.285
High Park Brewery Off the Leash IPA,3.05,1,473,6.5,Can,Ale,0.099,3.05,473,30.745
Indie Ale House Instigator IPA,4.25,1,473,6.5,Can,Ale,0.138,4.25,473,30.745
Kronenbourg 1664 Blanc,30.25,12,330,5.0,Can,Ale,0.153,2.521,3960,198.0
Furnace Room Beardmore Kolsch,3.4,1,473,4.5,Can,Ale,0.16,3.4,473,21.285
Godspeed Brewery Yuzu Saison with Japanese Citrus,3.95,1,355,4.1,Can,Ale,0.271,3.95,355,14.555
High Park Rings of Saturn Hazy IPA,3.5,1,473,6.5,Can,Ale,0.114,3.5,473,30.745
Fruli,20.0,4,330,4.1,Bottle,Ale,0.37,5.0,1320,54.12
GoodLot Farmstead Ale,3.5,1,473,6.2,Can,Ale,0.119,3.5,473,29.326
Gouden Carolus Christmas,3.25,1,330,10.5,Bottle,Ale,0.094,3.25,330,34.65
Forked River Capital Blonde Ale,3.25,1,473,4.7,Can,Ale,0.146,3.25,473,22.231
Elora Brewing Borealis Pale Ale,3.95,1,473,5.1,Can,Ale,0.164,3.95,473,24.123
Gregorius Trappist Beer,5.55,1,330,9.7,Bottle,Ale,0.173,5.55,330,32.01
Duchesse De Bourgogne,4.25,1,330,6.2,Bottle,Ale,0.208,4.25,330,20.46
Destihl Haze Of The Dead Hazy Double IPA,4.15,1,473,8.5,Can,Ale,0.103,4.15,473,40.205
Destihl Brewery Wild Sour Dragonfruit Mango,11.5,4,355,5.5,Can,Ale,0.147,2.875,1420,78.1
Collective Arts Guava Gose,2.95,1,355,4.9,Can,Ale,0.17,2.95,355,17.395
Collective Arts Grapefruit & Lime Gose,4.75,1,473,5.2,Can,Ale,0.193,4.75,473,24.596
Collective Arts Good Monster,4.45,1,473,8.0,Can,Ale,0.118,4.45,473,37.84
Collective Arts Daily Forecast,2.95,1,355,4.5,Can,Ale,0.185,2.95,355,15.975
Collective Arts Guava Gose,3.95,1,473,4.9,Can,Ale,0.17,3.95,473,23.177
"Collective Arts Stranger Than Fiction, Porter",3.45,1,473,5.5,Can,Ale,0.133,3.45,473,26.015
Collective Arts Hazy State,3.55,1,473,4.1,Can,Ale,0.183,3.55,473,19.393
Eastbound Brewing Let's Go Exploring,4.25,1,473,6.0,Can,Ale,0.15,4.25,473,28.38
Chimay White Cap,4.95,1,330,8.0,Bottle,Ale,0.188,4.95,330,26.4
Emmanuel De Landtsheer Malheur 12 Belgian Dark Ale,5.2,1,330,11.5,Bottle,Ale,0.137,5.2,330,37.95
Dieu Du Ciel - Peche Mortel,3.9,1,473,9.5,Can,Ale,0.087,3.9,473,44.935
Common Good Beer Company Solace East Coast IPA,3.95,1,473,6.7,Can,Ale,0.125,3.95,473,31.691
Cameron's Ambear Red Ale,3.65,1,473,5.0,Can,Ale,0.154,3.65,473,23.65
Bud Light Lime,3.2,1,473,4.0,Can,Ale,0.169,3.2,473,18.92
Bench Brewing Short Hills Hazy IPA,3.75,1,473,6.5,Can,Ale,0.122,3.75,473,30.745
Cameron's Jungle of Love Volume II,4.45,1,473,4.8,Can,Ale,0.196,4.45,473,22.704
Silversmith Brewing Tropical Situation,3.75,1,473,5.0,Can,Ale,0.159,3.75,473,23.65
Big Rig Gold,3.25,1,473,5.0,Can,Ale,0.137,3.25,473,23.65
Big Rig Alpha Bomb IPA,3.85,1,473,6.6,Can,Ale,0.123,3.85,473,31.218
Beau's Lug Lite,3.25,1,473,4.0,Can,Ale,0.172,3.25,473,18.92
Brew Microbrewery Maple Beer,3.95,1,473,5.0,Can,Ale,0.167,3.95,473,23.65
Calabogie Front Porch Kolsch,3.45,1,473,4.7,Can,Ale,0.155,3.45,473,22.231
CALABOGIE BREWING Brown Cow Milk Stout,3.6,1,473,5.5,Can,Ale,0.138,3.6,473,26.015
Beyond The Pale Saison Tropicale,5.1,1,473,7.9,Can,Ale,0.136,5.1,473,37.367
Broadhead Blueberry Blonde,3.65,1,473,5.0,Can,Ale,0.154,3.65,473,23.65
Anderson Cream Ale,15.45,6,355,4.8,Can,Ale,0.151,2.575,2130,102.24
Beau's Juiced AF Hazy IPA,3.85,1,473,6.5,Can,Ale,0.125,3.85,473,30.745
Anderson IPA,15.45,6,355,6.5,Can,Ale,0.112,2.575,2130,138.45
Dandy Brewing Julia Peach Sour,4.5,1,473,6.5,Can,Ale,0.146,4.5,473,30.745
Underground Brewing High Grade Blonde Ale,3.5,1,473,5.7,Can,Ale,0.13,3.5,473,26.961
Nickel Brook Kentucky Imperial Stout,11.95,1,500,12.0,Bottle,Ale,0.199,11.95,500,60.0
Double Trouble Pecan Porter,3.25,1,473,5.6,Can,Ale,0.123,3.25,473,26.488
Nickel Brook Cafe Del Bastardo,13.95,1,500,12.0,Bottle,Ale,0.232,13.95,500,60.0
Westmalle Dubbel,4.55,1,330,7.0,Bottle,Ale,0.197,4.55,330,23.1
Stack Brewing Panache Session IPA,3.5,1,473,4.5,Can,Ale,0.164,3.5,473,21.285
RAINHARD BREWING Kapow! West Coast IPA,3.95,1,473,6.5,Can,Ale,0.128,3.95,473,30.745
Rodenbach Classic,3.55,1,500,5.2,Can,Ale,0.137,3.55,500,26.0
Upper Thames Brewing Co Portage IPA,3.55,1,473,5.6,Can,Ale,0.134,3.55,473,26.488
London Brewing Hibiscus & Haskap Kettle Sour,3.95,1,473,4.2,Can,Ale,0.199,3.95,473,19.866
Longslice Brewery Princess Clementine Sour,3.95,1,473,5.0,Can,Ale,0.167,3.95,473,23.65
Left Field Flutterball Pale Ale,3.9,1,355,5.0,Can,Ale,0.22,3.9,355,17.75
London Brewing Front Porch Session IPA,3.35,1,473,4.0,Can,Ale,0.177,3.35,473,18.92
Rorschach Brewing Hedonism Passionfruit Blood Orange Guava Sour IPA,3.85,1,355,6.9,Can,Ale,0.157,3.85,355,24.495
Riverhead Brewing Tropical IPA,3.95,1,473,6.1,Can,Ale,0.137,3.95,473,28.853
Lake of the Woods Sultana Gold Ale,3.75,1,473,5.0,Can,Ale,0.159,3.75,473,23.65
Prince Eddy's Haze Brigade NEIPA,4.65,1,473,6.5,Can,Ale,0.151,4.65,473,30.745
Left Field Brewery Sweet Spot Marshmallow Stout,3.95,1,355,6.2,Can,Ale,0.179,3.95,355,22.01
Hofbrau Hefe Weizen,3.95,1,500,5.1,Bottle,Ale,0.155,3.95,500,25.5
Left Field Brewing Squeeze Play Pink Lemonade Sour,3.95,1,355,4.8,Can,Ale,0.232,3.95,355,17.04
Market Brewing Co. Roam Hazy IPA,3.95,1,473,6.5,Can,Ale,0.128,3.95,473,30.745
London Brewing Organic Hazy IPA,3.95,1,473,6.5,Can,Ale,0.128,3.95,473,30.745
Amsterdam Fracture Imperial IPA,4.25,1,473,9.1,Can,Ale,0.099,4.25,473,43.043
Clifford Brewing Porter,3.65,1,473,5.9,Can,Ale,0.131,3.65,473,27.907
Ganaraska Pretty Bad Sunburn Mango Guava Sour,4.25,1,473,4.7,Can,Ale,0.191,4.25,473,22.231
Gaffel Kolsch,3.65,1,500,4.8,Can,Ale,0.152,3.65,500,24.0
